Ngrams,Negation,Contrast,Positive entities,Negative entities,Class
slower capital inflows,false,0,0,0,negative
facing energy shortages,false,0,0,0,negative
captivity was harrowing,false,0,0,0,negative
well aware of,false,0,2,1,negative
aware of the,false,0,2,1,negative
of the alleged,false,0,2,1,negative
hostile tender offer,false,0,0,0,negative
a  million,false,0,1,0,negative
million fiscal first,false,0,1,0,negative
fiscal first quarter,false,0,1,0,negative
first quarter loss,false,0,1,0,negative
high level of,false,0,0,0,negative
level of contamination,false,0,0,0,negative
raise short term,false,0,0,1,negative
short term rates,false,0,0,1,negative
went out on,false,0,0,0,negative
out on strike,false,0,0,0,negative
not sold well,true,0,1,0,negative
lag average levels,false,0,0,0,negative
internet s continued,false,0,0,0,negative
s continued vulnerability,false,0,0,0,negative
hate filled diatribe,false,0,0,0,negative
saw little new,false,0,0,1,negative
weak first half,false,0,0,1,negative
hastened a downward,false,0,0,0,negative
a downward correction,false,0,0,0,negative
close it down,false,0,0,0,negative
expects  company,false,0,0,0,negative
six percent increase,false,0,0,0,negative
held us back,false,0,0,0,negative
huge financial problems,false,0,1,1,negative
weaken the thrust,false,0,0,0,negative
has threatened to,false,0,0,1,negative
threatened to pull,false,0,0,1,negative
to pull the,false,0,0,1,negative
threat sent ripples,false,0,0,0,negative
swedish crown strengthened,false,0,0,0,negative
slowing profits growth,false,0,0,0,negative
slightly lower rate,false,0,0,0,negative
lower rate of,false,0,0,0,negative
rate of growth,false,0,0,0,negative
weaker profit generation,false,0,0,0,negative
weaker market development,false,0,0,0,negative
hit by weak,false,0,0,2,negative
by weak consumer,false,0,0,2,negative
weak consumer spending,false,0,0,2,negative
vulnerable to sabotage,false,0,0,0,negative
vulnerable to manipulation,false,0,0,0,negative
lose  automotive,false,0,0,1,negative
spurring anti eu,false,0,0,1,negative
anti eu sentiment,false,0,0,1,negative
facing down legal,false,0,0,0,negative
down legal challenges,false,0,0,0,negative
endorse strict new,false,0,1,0,negative
strict new regulations,false,0,1,0,negative
jury deliberations about,false,0,0,1,negative
deliberations about to,false,0,0,1,negative
about to start,false,0,0,1,negative
to start in,false,0,0,1,negative
start in a,false,0,0,1,negative
in a key,false,0,0,1,negative
held liable for,false,0,0,1,negative
liable for a,false,0,0,1,negative
for a smoker,false,0,0,1,negative
a smoker s,false,0,0,1,negative
smoker s addiction,false,0,0,1,negative
s addiction that,false,0,0,1,negative
addiction that allegedly,false,0,0,1,negative
that allegedly led,false,0,0,1,negative
allegedly led to,false,0,0,1,negative
concerns about the,false,0,0,0,negative
about the indiana,false,0,0,0,negative
the indiana trial,false,0,0,0,negative
fighting more bad,false,0,0,0,negative
more bad news,false,0,0,0,negative
avoid eating meat,false,0,0,1,negative
mad cow disease,false,0,0,1,negative
cow disease can,false,0,0,1,negative
disease can be,false,0,0,1,negative
can be transmitted,false,0,0,1,negative
be transmitted to,false,0,0,1,negative
transmitted to the,false,0,0,1,negative
closed sharply lower,false,0,1,0,negative
triggered a political,false,0,0,0,negative
a political storm,false,0,0,0,negative
shocked many by,false,0,0,0,negative
many by the,false,0,0,0,negative
by the ferocity,false,0,0,0,negative
the ferocity of,false,0,0,0,negative
ferocity of its,false,0,0,0,negative
ruling it out,false,0,0,0,negative
it out as,false,0,0,0,negative
out as a,false,0,0,0,negative
looking mighty low,false,0,0,1,negative
proved a major,false,0,0,0,negative
a major disappointment,false,0,0,0,negative
expected to slow,false,0,0,1,negative
slow to less,false,0,0,2,negative
to less than,false,0,0,2,negative
less than half,false,0,0,2,negative
might walk out,false,0,0,0,negative
walk out again,false,0,0,0,negative
fell in sluggish,false,0,0,1,negative
in sluggish trading,false,0,0,1,negative
drifting  low,false,0,0,2,negative
volume  low,false,0,0,2,negative
low volatility activity,false,0,0,2,negative
political protest against,false,0,0,0,negative
forced to buy,false,0,0,0,negative
the problems plaguing,false,0,1,0,negative
problems plaguing the,false,0,1,0,negative
plaguing the utility,false,0,1,0,negative
the utility s,false,0,1,0,negative
utility s nuclear,false,0,1,0,negative
s nuclear operations,false,0,1,0,negative
nuclear operations stemmed,false,0,1,0,negative
operations stemmed from,false,0,1,0,negative
permit and strongly,false,0,0,0,negative
and strongly oppose,false,0,0,0,negative
battle is brewing,false,0,0,0,negative
ended floor dealings,false,0,0,0,negative
floor dealings down,false,0,0,0,negative
extended their losses,false,0,0,0,negative
defy order to,false,0,0,1,negative
order to return,false,0,0,1,negative
to return to,false,0,0,1,negative
would continue the,false,0,0,0,negative
continue the strike,false,0,0,0,negative
unfazed by sanctions,false,0,0,0,negative
by sanctions talk,false,0,0,0,negative
assessing the deal,false,0,0,0,negative
deal  negatively,false,0,0,0,negative
will not be,true,0,0,1,negative
not be hit,true,0,0,1,negative
would not stall,true,0,0,0,negative
filed a corruption,false,0,0,0,negative
a corruption case,false,0,0,0,negative
corruption case against,false,0,0,0,negative
one day strikes,false,0,0,0,negative
day strikes in,false,0,0,0,negative
strikes in protest,false,0,0,0,negative
bowed to market,false,0,0,0,negative
to market pressure,false,0,0,0,negative
likely to remain,false,0,0,1,negative
to remain listless,false,0,0,1,negative
suffered an unexpected,false,0,0,1,negative
an unexpected setback,false,0,0,1,negative
back into the,false,0,0,1,negative
into the damaging,false,0,0,1,negative
the damaging boom,false,0,0,1,negative
damaging boom bust,false,0,0,1,negative
bust  cycle,false,0,0,1,negative
cycle that has,false,0,0,1,negative
that has plagued,false,0,0,1,negative
has plagued it,false,0,0,1,negative
plagued it for,false,0,0,1,negative
too general and,false,0,0,2,negative
general and failed,false,0,0,2,negative
and failed to,false,0,0,2,negative
failed to detail,false,0,0,2,negative
to detail specific,false,0,0,2,negative
detail specific product,false,0,0,2,negative
specific product lines,false,0,0,2,negative
product lines and,false,0,0,2,negative
lines and a,false,0,0,2,negative
and a timeframe,false,0,0,2,negative
could not be,true,0,0,0,negative
not be fixed,true,0,0,0,negative
lodge a protest,false,0,0,0,negative
push the island,false,0,0,1,negative
the island into,false,0,0,1,negative
island into diplomatic,false,0,0,1,negative
englewood  colo,false,0,0,1,negative
colo  based,false,0,0,1,negative
based roc communities,false,0,0,1,negative
roc communities in,false,0,0,1,negative
communities in the,false,0,0,1,negative
in the dust,false,0,0,1,negative
offered no premium,true,0,0,0,negative
raise prices after,false,0,0,0,negative-uncertain
prices after minimum,false,0,0,0,negative-uncertain
after minimum wage,false,0,0,0,negative-uncertain
